track_id,track_name,track_album,artist_id,artist_name,track_duration,genres,user_id,user_name
6ZF80y1S2RBycHkhY1gzcf,Sabbra Cadabra,Sabbath Bloody Sabbath (2009 Remastered Version),['5M52tdBnJaKSvOpJGz8mfZ'],['Black Sabbath'],357093,"['album rock', 'birmingham metal', 'stoner rock', 'hard rock', 'alternative metal', 'rock', 'metal', 'uk doom metal', 'classic rock']",22oobybc3vohkm5fd6jcdyita,Maya Antunes
4bJygwUKrRgq1stlNXcgMg,All The Things She Said,200 KM/H In The Wrong Lane (10th Anniversary Edition),['2QsynagSdAqZj3U9HgDzjD'],['t.A.T.u.'],214440,"['roots reggae', 'reggae']",31lpdr2gqa2xrig77zktc66z66py,raposakaique
6sW4cDGHnul55JYRWPJsWh,Stranger Aeons,Clandestine,['2pnezMcaiTHfGmgmGQjLsB'],['Entombed'],205866,"['deathgrind', 'swedish metal', ""death 'n' roll"", 'swedish death metal', 'metal', 'black metal', 'death metal', 'brutal death metal']",t8c4z6vjpybbgqaeshtoctq4x,Vitor
3QFInJAm9eyaho5vBzxInN,family ties (with Kendrick Lamar),The Melodic Blue,"['5SXuuuRpukkTvsLuUknva1', '2YZyLoL8N0Wb9xBt1NhZWg']","['Baby Keem', 'Kendrick Lamar']",252262,"['rap', 'west coast rap', 'conscious hip hop', 'hip hop']",315rhevgnvopu4fil2urulqlg6zm,Marcos
07XtcvhkLar8V5o7UnyG7J,Holy Cave,WACO,['2N2EFVDEbp2JB8ulEUVIxp'],['Violent Soho'],183586,"['australian garage punk', 'australian indie', 'brisbane indie', 'australian surf rock']",22oobybc3vohkm5fd6jcdyita,Maya Antunes
0fABszUFNbNq9IW503Gj8v,Tá OK,Tá OK,"['6xlRSRMLgZbsSNd0BMobwy', '2UMj7NCbuqy1yUZmiSYGjJ']","['DENNIS', 'MC Kevin o Chris']",92093,"['funk rj', 'sertanejo universitario', 'funk 150 bpm', 'funk carioca', 'funk das antigas']",22oobybc3vohkm5fd6jcdyita,Maya Antunes
6EihAc9eguYKCDgDHPucLh,Lowbrow,Hungry Ghost,['2N2EFVDEbp2JB8ulEUVIxp'],['Violent Soho'],210946,"['australian garage punk', 'australian indie', 'brisbane indie', 'australian surf rock']",22oobybc3vohkm5fd6jcdyita,Maya Antunes
5UWwZ5lm5PKu6eKsHAGxOk,Everlong,The Colour And The Shape,['7jy3rLJdDQY21OgRLCZ9sD'],['Foo Fighters'],250546,"['permanent wave', 'alternative metal', 'post-grunge', 'rock', 'modern rock', 'alternative rock']",suqj6g68oug3i0vw4nuebfrto,Pedro Henrique Fonseca
0Pie5DFAHHxpkONFUsAI6s,Aneurysm,Incesticide,['6olE6TJLqED3rqDCT0FyPh'],['Nirvana'],275600,"['rock', 'grunge', 'permanent wave']",t8c4z6vjpybbgqaeshtoctq4x,Vitor
0UY4FvG4f9JI6kBR1BlWrZ,That's What You Get,Riot!,['74XFHRwlV6OrjEM0A2NCMF'],['Paramore'],220480,"['pop', 'pop emo', 'candy pop', 'rock', 'modern rock', 'pixie', 'pop punk']",315rhevgnvopu4fil2urulqlg6zm,Marcos
4K5Bnu8qJkDo6H4QBH93BU,Twist Sound,"Spin Rhythm XD, Vol. 1 (Original Game Soundtrack)",['7qEGDvyYKOw0Nk7pR1KEb4'],['2 Mello'],199500,['indie game soundtrack'],fabiozotesso,Fabio Zotesso
1AMADyXgIWayh5vXLZo2qF,Covet,Colourmeinkindness,['4DUQBYAyOTZotSEdKhaf6c'],['Basement'],227340,"['emo', 'alternative emo', 'dreamo']",t8c4z6vjpybbgqaeshtoctq4x,Vitor
5WhtlIoxoZrMmuaWWEQhwV,Undone - The Sweater Song,Weezer,['3jOstUTkEu2JkjvRdBA5Gu'],['Weezer'],305533,"['permanent wave', 'rock', 'modern rock', 'alternative rock', 'modern power pop']",t8c4z6vjpybbgqaeshtoctq4x,Vitor
6ursmCnbc9oDRGa2yHKkoZ,Roots Bloody Roots,Roots,['6JW8wliOEwaDZ231ZY7cf4'],['Sepultura'],212253,"['latin metal', 'speed metal', 'metal mineiro', 'brazilian metal', 'deathrash', 'alternative metal', 'brazilian groove metal', 'hard rock', 'brazilian thrash metal', 'groove metal', 'metal', 'thrash metal', 'death metal', 'nu metal', 'old school thrash']",suqj6g68oug3i0vw4nuebfrto,Pedro Henrique Fonseca
3pxtyYq7JSibCIHzbJZdJK,Over the Edge,Over the Edge,['0sTTw3dw3EA0c7NaZnrJd2'],['Wipers'],229666,"['punk', 'no wave', 'hardcore punk', 'post-punk', 'grunge', 'alternative rock', 'portland punk', 'post-hardcore']",t8c4z6vjpybbgqaeshtoctq4x,Vitor
6h8QlZzBBnZhF4EkGi8JPr,I Think We're Alone Now,I Think We're Alone Now,"['1MrEurzLcL8ugfP1PrUPWG', '7oPftvlwr6VrsViSDV7fJY']","['Billie Joe Armstrong', 'Green Day']",134671,"['punk', 'modern rock', 'permanent wave', 'rock']",fabiozotesso,Fabio Zotesso
28WmNsclKsrVmdv3tDmoYU,Seek & Destroy - Remastered,Kill 'Em All (Remastered),['2ye2Wgw4gimLv2eAKyk1NB'],['Metallica'],414720,"['hard rock', 'rock', 'metal', 'thrash metal', 'old school thrash']",suqj6g68oug3i0vw4nuebfrto,Pedro Henrique Fonseca
1KdwPeY1WRWQGHCmRJTveb,Cannonball,Last Splash,['1xgFexIwrf2QjbU0buCNnp'],['The Breeders'],213693,"['alternative rock', 'boston rock']",t8c4z6vjpybbgqaeshtoctq4x,Vitor
4tZdPxjFCZepceY2iuoeKp,Stella was a diver and she was always down,Turn On The Bright Lights,['3WaJSfKnzc65VDgmj2zU8B'],['Interpol'],387933,"['indie rock', 'rock', 'modern rock', 'alternative rock', 'indietronica', 'alternative dance']",t8c4z6vjpybbgqaeshtoctq4x,Vitor
0upFohXrGxIIAjyaJmCkMU,"Tokyo Drift (Fast & Furious) - From ""The Fast And The Furious: Tokyo Drift"" Soundtrack",Tokyo Drift (Fast & Furious),['7HBai5xymOxIWoMWvWshe1'],['Teriyaki Boyz'],255946,['japanese old school hip hop'],31lpdr2gqa2xrig77zktc66z66py,raposakaique
52Zr0sinhWTCRrQhRRY4EP,Dragostea din tei,DiscO-Zone,['5M5PjPSiKeXynM6Ohu350r'],['O-Zone'],215386,"['europop', 'eurodance', 'moldovan pop']",31lpdr2gqa2xrig77zktc66z66py,raposakaique
1EoN7hqAsyuTUrBjJPzWJF,Black Diamond,Visions,['1O8CSXsPwEqxcoBE360PPO'],['Stratovarius'],340240,"['speed metal', 'symphonic metal', 'finnish power metal', 'progressive metal', 'metal', 'neo classical metal', 'power metal']",t8c4z6vjpybbgqaeshtoctq4x,Vitor
05j9ehtmZsj8BL07s9rZ75,How We Do (Party),ORA,['5CCwRZC6euC8Odo6y9X8jr'],['Rita Ora'],247026,"['dance pop', 'uk pop', 'pop']",sarabiangel,loucadosgatos
7FNIEfhhBlzsZFxCwI5Nwh,A Little Less Conversation - JXL Radio Edit Remix,Elvis 30 #1 Hits,"['43ZHCT0cAZBISjO8DG9PnE', '5svDnd8joFhbpbA3Ar0CfN']","['Elvis Presley', 'Junkie XL']",213240,"['soundtrack', 'rock-and-roll', 'big beat', 'rockabilly']",sarabiangel,loucadosgatos
60kX85bvmuc0iAYM6ULufL,Submersa,Matriz,['2dmQ0vMD3THLMcz7DsvfaT'],['Pitty'],246121,"['hard rock brasileiro', 'rock baiano', 'brazilian rock', 'pop rock brasileiro']",fabiozotesso,Fabio Zotesso
